Code	Qty	Total Sell	Date	Description	Color	Color - Long	Cost	Family	Invoice ID	Product ID	Sell	Size	Store ID	User	Station	Posted Date
SD006030-WA-M	1.00	19.00	6/19/15	Comfort Soft S/S-Pocket, WA, M	WA		4.78	T-Shirt	I-51660	P-3478	19.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005180-PS-M	1.00	17.00	6/19/15	Hanes Beefy S/S, PS, M	Pink		3.39	T-Shirt	I-51661	P-3215	17.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
858961710076	1.00	12.99	6/19/15	Toy - Savannah Gatorbaby			7.00	Pet	I-51662	P-1966	12.99		The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD3413C-Red-L	1.00	22.00	6/19/15	Triblend S/S, Red, L	Red		4.60	T-Shirt	I-51662	P-3445	22.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDAUTODCHH	1.00	3.99	6/19/15	Magnet - Auto Decal - HH			1.50	Product	I-51662	P-6861	3.99		The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD0TAFFYASBG	1.00	6.99	6/19/15	Taffy - Assorted - 12 oz	Assorted		1.85	Product	I-51662	P-2101	6.99	12 oz	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SP5180PD-NY-S	1.00	12.00	6/19/15	Patriot Dog S/S, NY, S	Navy		3.40	T-Shirt	I-51663	P-3285	12.00	S	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD3413C-Red-M	1.00	22.00	6/19/15	Triblend S/S, Red, M	Red		4.59	T-Shirt	I-51664	P-3443	22.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD3413C-Orange-L	1.00	22.00	6/19/15	Triblend S/S, Orange, L	Orange		4.59	T-Shirt	I-51664	P-7072	22.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDETBTSB-CH-M	1.00	17.00	6/19/15	Bamboo S/S, CH, M	CH		6.50	T-Shirt	I-51664	P-7274	17.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005186-BK-M	1.00	20.00	6/19/15	Hanes Beefy L/S, BK, M	Black		6.40	T-Shirt	I-51664	P-3016	20.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD00T139	1.00	4.99	6/19/15	Pint Glass - 16oz			0.82	Product	I-51664	P-2060	4.99	16 oz	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDKOOZIEBL	1.00	2.99	6/19/15	Koozie - Foam - Blue	Blue		0.78	Product	I-51664	P-2042	2.99	OSFA	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005180-DM-XL	1.00	17.00	6/19/15	Hanes Beefy S/S, DM, XL	DM		3.22	T-Shirt	I-51665	P-3426	17.00	XL	The Salty Dog - HHI, SC	Hailey M	Tanger 2	
SD005180-DM-L	-1.00	-17.00	6/19/15	Hanes Beefy S/S, DM, L	DM		3.03	T-Shirt	I-51665	P-3424	17.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	
SDETBTSB-CH-M	1.00	17.00	6/19/15	Bamboo S/S, CH, M	CH		6.50	T-Shirt	I-51666	P-7274	17.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDETBTSB-RE-M	1.00	17.00	6/19/15	Bamboo S/S, RE, M	Red		7.05	T-Shirt	I-51666	P-3114	17.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SP5180PD-RE-L	1.00	12.00	6/19/15	Patriot Dog S/S, RE, L	Red		3.39	T-Shirt	I-51667	P-3407	12.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SP5180PD-RE-XL	1.00	12.00	6/19/15	Patriot Dog S/S, RE, XL	Red		3.38	T-Shirt	I-51667	P-3408	12.00	XL	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDWBH2GO-Red	1.00	8.99	6/19/15	Waterbottle - H2GO - Red	Red		3.45	Product	I-51668	P-2085	8.99	OSFA	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDC47MES - Sage - Adult	1.00	18.99	6/19/15	Hat - Cotton Mesh Back - Sage - Adult	Sage		6.00	Hat	I-51668	P-1410	18.99	Adult	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
TERVIS2-SD Logo-12 oz	4.00	46.76	6/19/15	Tervis - Tumbler - SD Logo - 12 oz (10% OFF Drinkware)	SD Logo		7.73	Product	I-51668	P-2098	11.69	12 oz	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDSIPCUP9OZ	1.00	3.99	6/19/15	Sippy Cup - 9 oz			1.12	Product	I-51668	P-2066	3.99	9 oz	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDWBH2GO-Aqua	2.00	17.98	6/19/15	Waterbottle - H2GO - Aqua	Aquatic Blue		3.44	Product	I-51668	P-2096	8.99	24OZ	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD00831G	1.00	-2.00	6/19/15	FREE Bumper Sticker - Lead Dog			0.11	Product	I-51668	P-2322	-2.00		The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD00831WH	1.00	2.00	6/19/15	Bumper Sticker - White - Lead Dog			0.11	Product	I-51668	P-2259	2.00		The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD00311ROS	1.00	19.99	6/19/15	Kolder Bag - Royal - 12 Pack	Royal		7.02	Product	I-51669	P-2029	19.99	12 pk	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
